#nrNodes nrCollisions nrTransmissions OverallEnergy
300 11347 12587 94.000118784
300 11252 12480 93.20103936
300 5693 12586 23.498162688
300 5686 12601 23.526167808
300 5489 12619 23.559773952
300 8718 12652 47.242770432
300 11406 12613 94.194287616
300 11315 12509 93.417612288
300 12408 12418 303.811436544
300 11886 12523 117.220088832
100 2248 4199 31.358266368
100 2382 4289 32.030389248
