#nrNodes nrCollisions nrTransmissions OverallEnergy
4 1665 69617 156.528109056
4 404 35107 78.869522688
10 2319 9706 20.90259072
100 92778 98024 226.14104832
39 26392 38040 82.914230784
39 1108 6589 15.717698304
39 60 1617 3.778908672
39 160 1715 4.413606912
39 144 1635 3.954322944
39 164 1586 4.045806336
300 6833 12586 31.388138496
