#nrNodes nrCollisions nrTransmissions OverallEnergy
10 2 12 2.712010752
4 21761 23591 5331.58713754
4 124 135 30.51012096
4 133 144 32.544129024
4 0 182 41.132163072
1 0 38 8.588034048
1 0 483 109.158432768
