#nrNodes nrCollisions nrTransmissions OverallEnergy
4 385 34497 49.712456448
8 0 381 0.66054336
4 0 183 0.42451584
8 0 369 0.665907648
6 0 295 0.451474176
1 0 54 0.0572832
